Candidate,Elected_Prior_Election
Nigel Gallagher,0
Eamon Scanlon,0
Declan Bree,0
Bernard Sweeney,0
Susan O'Keeffe,0
Séamus Morris,0
Michael Lowry,1
Séamus Healy,1
Gearóid Fitzgibbon,0
Marie Murphy,0
Mattie McGrath,1
Tom Hayes,1
Michael Dillon,0
Noel Coonan,1
Michael Smith,0
Jackie Cahill,0
Siobhán Ambrose,0
Alan Kelly,1
David Cullinane,0
Mary Butler,0
John Halligan,1
Grace O'Sullivan,0
John D Walsh,0
John Deasy,1
íšna Dunphy,0
Ciara Conway,1
Paudie Coffey,1
Mailo Power,0
Sheikh Mohiuddin Ahmed,0
Edward Quilty,0
Johnny Mythen,0
Paul Kehoe,1
Aoife Byrne,0
Michael D'Arcy,0
Malcolm Byrne,0
Brendan Howlin,1
Leonard Kelly,0
Mick Wallace,1
John Dwyer,0
James Browne,0
Julie Hogan,0
Ann Walsh,0
Emmet Moloney,0
Caroline Foxe,0
David Lloyd,0
Deirdre Wadding,0
Ger Carty,0
Anna Doyle,0
Joe Behan,0
Billy Timmins,1
Avril Cronin,0
Bob Kearns,0
Pat Casey,0
Stephen Donnelly,1
Jennifer Cuffe,0
Steven Matthews,0
Charlie Keddy,0
Anne Ferris,1
Sharon Briggs,0
Katrina Hutchinson,0
John Brady,0
Simon Harris,1
Andrew Doyle,1
Kathleen Funchion,0
Jennifer Murnane O'Connor,0
Keith Gilligan,0
Patrick McKee,0
Bobby Aylward,1
John Paul Phelan,1
Conor MacLiam,0
David Fitzgerald,0
John McGuinness,1
Pat Deering,1
Ann Phelan,1
Noel G Walsh,0
Adrienne Wallace,0
Paddy Manning,0
Malcolm Noonan,0
Joe O'Reilly,1
Micheal Callaghan,0
Mary Smyth,0
Brendan Smith,1
Heather Humphreys,1
Jimmy Mee,0
Seán Conlan,1
Caoimhghí­n ó Caoláin,0
Mike Durkin,0
Aoife O'Connell,0
Emmett Smith,0
Mick McDermott,0
Niamh Smyth,0
John Wilson,0
Kathryn Reilly,0
Noeleen Moran,0
Michael McDonagh,0
Richard Cahill,0
André Sibo Hakizimana,0
Fergal Smith,0
Dermot Mulqueen,0
Pat Breen,1
Niamh O'Brien,0
Joe Carey,1
Ian Lynch,0
Ann Norton,0
Michael Harty,0
Claire Colleran-Molloy,0
Timmy Dooley,1
Mary Howard,0
Michael McNamara,1
