Election_Period,Constituency,Cand_FP_Share_All Others,Cand_FP_Share_FF,Cand_FP_Share_FG,Cand_FP_Share_GP-LAB-SD,Cand_FP_Share_SF,incumbent_pct_All_Others,incumbent_pct_FF,incumbent_pct_FG,incumbent_pct_GP_LAB_SD,incumbent_pct_SF,candidates_per_seat_All_Others,candidates_per_seat_FF,candidates_per_seat_FG,candidates_per_seat_GP_LAB_SD,candidates_per_seat_SF,female_pct_All_Others,female_pct_FF,female_pct_FG,female_pct_GP_LAB_SD,female_pct_SF,Catholic_pct,Irish_over3_pct,Irish_Daily_And_In_Educ_pct,Two_person_household_ppl_pct,UK_birth_pct,Wh_irish_trv,pct_share_party_prior_election_All_Others,pct_share_party_prior_election_FF,pct_share_party_prior_election_FG,pct_share_party_prior_election_GP_LAB_SD,pct_share_party_prior_election_SF
Election_2016,Mayo,0.113,0.277,0.509,0.001,0.101,0,0.5,1,0,0,2,0.4,0.6,0,0.2,0.1,0.5,0.333333333,0,1,0.869980513,0.441914759,0.004349367,0.261862117,0.097835476,0.865013634,0.1283,0.1876,0.577,0,0.1406
Election_2016,Meath East,0.137,0.261,0.348,0.115,0.14,0,0,1,0.333333333,0,1,0.2,0.4,0.6,0.2,0.4,0,1,0.333333333,0,0.829551689,0.394358598,0.003811448,0.196701583,0.046476579,0.866842496,0.1413,0.2226,0.336,0.1355,0.1646
Election_2016,Meath West,0.089,0.274,0.325,0.067,0.245,0,0,1,0,1,0.6,0.2,0.4,0.4,0.2,0,0,0,0.5,0,0.830202224,0.374474297,0.004854425,0.202560477,0.051806211,0.835450218,0.0953,0.2076,0.386,0.0615,0.2496
Election_2016,Offaly,0.365,0.358,0.155,0.012,0.109,0,0.5,0,0,0,1.2,0.4,0.2,0.2,0.2,0.333333333,0,1,0,1,0.866070624,0.384513311,0.002583463,0.232085175,0.046694809,0.874446871,0.4213,0.3846,0.082,0,0.1846
Election_2016,Roscommon–Galway,0.557,0.193,0.149,0.033,0.067,0.333333333,0,0,0,0,1.2,0.4,0.2,0.4,0.2,0.166666667,0,1,0.5,1,0.873856178,0.419832929,0.002327234,0.249040809,0.078029575,0.854767749,0.3253,0.1766,0.312,0.0135,0.1736
Election_2016,Sligo–Leitrim,0.182,0.323,0.277,0.039,0.178,0,0,0.666666667,0,0,1.6,0.6,0.6,0.4,0.4,0.25,0,0,1,0,0.815644285,0.391758505,0.002892364,0.263581985,0.094472028,0.861779409,0.2233,0.2446,0.296,0.0265,0.2086
Election_2016,Tipperary,0.411,0.238,0.161,0.116,0.073,0.75,0,0.666666667,0.5,0,0.8,0.6,0.6,0.4,0.2,0,0.666666667,0.333333333,0,0,0.873555875,0.423578705,0.002606466,0.2510544,0.055323187,0.869836966,0.4008,0.1746,0.2185,0.0765,0.1296
Election_2016,Waterford,0.234,0.205,0.287,0.087,0.188,0.166666667,0,1,0.5,0,1.2,0.2,0.4,0.4,0.2,0.166666667,1,0,1,0,0.805149084,0.405567935,0.004832344,0.263120087,0.05994365,0.848605647,0.2373,0.1666,0.308,0.1125,0.1746
Election_2016,Wexford,0.215,0.266,0.233,0.186,0.101,0.142857143,0,0.333333333,0.333333333,0,1.4,0.6,0.6,0.6,0.2,0.285714286,0.333333333,0.333333333,0.333333333,0,0.838420539,0.356432199,0.002727336,0.254588246,0.060474638,0.871716995,0.2583,0.2116,0.271,0.1245,0.1336
Election_2016,Wicklow,0.161,0.134,0.275,0.267,0.162,0.142857143,0,0.666666667,0.666666667,0,1.4,0.4,0.6,0.6,0.2,0.428571429,0.5,0.333333333,0.333333333,0,0.733185413,0.366012701,0.0042289,0.23379588,0.059050206,0.862349462,0.2683,0.1326,0.323,0.1015,0.1766
