"","web.scraper.start.url","Seat","Party","Candidate","Share","Count.1","Count.2","Count.3","Count.4","Count.5","Count.6","Count.7","Count.8","Count.9","Count.10","Count.11","Count.12","Count.13","Count.14","Count.15","Constituency","n","total_const_vote","seats","Quota","Total_Transfers","FP_Quota_pct","Trans_Quota_pct","Elected","First_Name","gender","proportion_male","proportion_female"
"301","https://irelandelection.com/electiondetail.php?elecid=238&constitid=53&electype=1",0,"IND","Seán O'Leary (IND)","0.0%",33,4,23,0,0,0,0,0,0,0,0,0,0,0,0,"Kerry",13,77666,5,12945,27,0.00254924681344148,0.00208574739281576,0,"Seán","male",NA,NA
"302","https://irelandelection.com/electiondetail.php?elecid=238&constitid=53&electype=1",0,"Aon","Sonny Foran (Aon)","1.4%",1109,71,224,0,0,0,0,0,0,0,0,0,0,0,0,"Kerry",13,77666,5,12945,295,0.0856701429123214,0.0227887215140981,0,"Sonny","female",NA,NA
"303","https://irelandelection.com/electiondetail.php?elecid=238&constitid=53&electype=1",0,"GP","Cleo Murphy (GP)","5.3%",4122,151,535,455,341,207,418,0,0,0,0,0,0,0,0,"Kerry",13,77666,5,12945,2107,0.318424101969873,0.162765546543067,0,"Cleo","female",NA,NA
"304","https://irelandelection.com/electiondetail.php?elecid=238&constitid=53&electype=1",4,"IND","Danny Healy-Rae (IND)","11.2%",8663,1941,729,757,574,336,0,0,0,0,0,0,0,0,0,"Kerry",13,77666,5,12945,4337,0.669215913480108,0.335032831208961,1,"Danny","male",0.95,0.05
"305","https://irelandelection.com/electiondetail.php?elecid=238&constitid=53&electype=1",2,"SF","Pa Daly (SF)","20.3%",15733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kerry",13,77666,5,12945,0,1.21537273078409,0,1,"Pa","female",NA,NA
"306","https://irelandelection.com/electiondetail.php?elecid=238&constitid=53&electype=1",0,"IND","Ted Cronin (IND)","0.5%",391,26,127,0,0,0,0,0,0,0,0,0,0,0,0,"Kerry",13,77666,5,12945,153,0.0302047122441097,0.011819235225956,0,"Ted","male",0.98,0.02
"307","https://irelandelection.com/electiondetail.php?elecid=238&constitid=53&electype=1",5,"FF","Norma Foley (FF)","8.8%",6856,415,376,287,1177,482,535,1861,0,0,0,0,0,0,0,"Kerry",13,77666,5,12945,5133,0.529625337968328,0.396523754345307,1,"Norma","female",0.03,0.97
"308","https://irelandelection.com/electiondetail.php?elecid=238&constitid=53&electype=1",0,"FF","Norma Moriarty (FF)","4.9%",3767,282,96,72,0,0,0,0,0,0,0,0,0,0,0,"Kerry",13,77666,5,12945,450,0.291000386249517,0.0347624565469293,0,"Norma","female",0.03,0.97
"309","https://irelandelection.com/electiondetail.php?elecid=238&constitid=53&electype=1",0,"IFP","John Bowler (IFP)","0.6%",473,28,139,0,0,0,0,0,0,0,0,0,0,0,0,"Kerry",13,77666,5,12945,167,0.0365392043259946,0.0129007338740827,0,"John","male",0.99,0.01
"310","https://irelandelection.com/electiondetail.php?elecid=238&constitid=53&electype=1",0,"FG","Mike Kennelly (FG)","5.1%",3974,179,125,101,40,0,0,0,0,0,0,0,0,0,0,"Kerry",13,77666,5,12945,445,0.306991116261105,0.0343762070297412,0,"Mike","male",0.99,0.01
